point_id,scenario,prompt_tokens,max_new_tokens,kv_mid,max_kv,bs,seq,model_class,arch_factory,noc_factory,dsa_index_topk,declared_moe_tp,declared_moe_ep,declared_moe_ep1,declared_moe_ep2,declared_moe_sp,declared_moe_cp,declared_moe_dp,declared_moe_pp,declared_moe_fsdp,effective_moe_tp,effective_moe_ep,effective_moe_ep1,effective_moe_ep2,non_moe_tp,non_moe_ep,non_moe_dp,non_moe_pp,granularity_mode,comp_comm_overlap,auto_tune,dump_perf_log,trace_file,measurement_file,measurement_field
dsv32_io3072_1024_bs8,io3072_1024,3072,1024,3584,4096,8,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io3072_1024_bs16,io3072_1024,3072,1024,3584,4096,16,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io3072_1024_bs32,io3072_1024,3072,1024,3584,4096,32,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io3072_1024_bs64,io3072_1024,3072,1024,3584,4096,64,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io3072_1024_bs128,io3072_1024,3072,1024,3584,4096,128,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io3072_1024_bs256,io3072_1024,3072,1024,3584,4096,256,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs1,io7168_1024,7168,1024,7680,8192,1,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs2,io7168_1024,7168,1024,7680,8192,2,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs4,io7168_1024,7168,1024,7680,8192,4,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs8,io7168_1024,7168,1024,7680,8192,8,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs16,io7168_1024,7168,1024,7680,8192,16,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs32,io7168_1024,7168,1024,7680,8192,32,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs64,io7168_1024,7168,1024,7680,8192,64,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io7168_1024_bs128,io7168_1024,7168,1024,7680,8192,128,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io15360_1024_bs1,io15360_1024,15360,1024,15872,16384,1,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io15360_1024_bs2,io15360_1024,15360,1024,15872,16384,2,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io15360_1024_bs4,io15360_1024,15360,1024,15872,16384,4,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io15360_1024_bs8,io15360_1024,15360,1024,15872,16384,8,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io15360_1024_bs16,io15360_1024,15360,1024,15872,16384,16,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io15360_1024_bs32,io15360_1024,15360,1024,15872,16384,32,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io15360_1024_bs64,io15360_1024,15360,1024,15872,16384,64,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io31744_1024_bs1,io31744_1024,31744,1024,32256,32768,1,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io31744_1024_bs2,io31744_1024,31744,1024,32256,32768,2,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io31744_1024_bs4,io31744_1024,31744,1024,32256,32768,4,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io31744_1024_bs8,io31744_1024,31744,1024,32256,32768,8,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io31744_1024_bs16,io31744_1024,31744,1024,32256,32768,16,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
dsv32_io31744_1024_bs32,io31744_1024,31744,1024,32256,32768,32,1,DeepSeekV3_2,B200,b200_8x1_8,2048,8,1,1,1,1,1,1,1,False,1,8,8,1,8,1,1,1,coarse,True,False,False,mosaic/data/aime_ds_r1/moe_activations_batch0.npz,reference/all_results_canonical.csv,system_decode_tps_excluding_first
